"subject" "activity" "Count"
1 "WALKING" 95
1 "WALKING_UPSTAIRS" 53
1 "WALKING_DOWNSTAIRS" 49
1 "SITTING" 47
1 "STANDING" 53
1 "LAYING" 50
2 "WALKING" 59
2 "WALKING_UPSTAIRS" 48
2 "WALKING_DOWNSTAIRS" 47
2 "SITTING" 46
2 "STANDING" 54
2 "LAYING" 48
3 "WALKING" 58
3 "WALKING_UPSTAIRS" 59
3 "WALKING_DOWNSTAIRS" 49
3 "SITTING" 52
3 "STANDING" 61
3 "LAYING" 62
4 "WALKING" 60
4 "WALKING_UPSTAIRS" 52
4 "WALKING_DOWNSTAIRS" 45
4 "SITTING" 50
4 "STANDING" 56
4 "LAYING" 54
5 "WALKING" 56
5 "WALKING_UPSTAIRS" 47
5 "WALKING_DOWNSTAIRS" 47
5 "SITTING" 44
5 "STANDING" 56
5 "LAYING" 52
6 "WALKING" 57
6 "WALKING_UPSTAIRS" 51
6 "WALKING_DOWNSTAIRS" 48
6 "SITTING" 55
6 "STANDING" 57
6 "LAYING" 57
7 "WALKING" 57
7 "WALKING_UPSTAIRS" 51
7 "WALKING_DOWNSTAIRS" 47
7 "SITTING" 48
7 "STANDING" 53
7 "LAYING" 52
8 "WALKING" 48
8 "WALKING_UPSTAIRS" 41
8 "WALKING_DOWNSTAIRS" 38
8 "SITTING" 46
8 "STANDING" 54
8 "LAYING" 54
9 "WALKING" 52
9 "WALKING_UPSTAIRS" 49
9 "WALKING_DOWNSTAIRS" 42
9 "SITTING" 50
9 "STANDING" 45
9 "LAYING" 50
10 "WALKING" 53
10 "WALKING_UPSTAIRS" 47
10 "WALKING_DOWNSTAIRS" 38
10 "SITTING" 54
10 "STANDING" 44
10 "LAYING" 58
11 "WALKING" 59
11 "WALKING_UPSTAIRS" 54
11 "WALKING_DOWNSTAIRS" 46
11 "SITTING" 53
11 "STANDING" 47
11 "LAYING" 57
12 "WALKING" 50
12 "WALKING_UPSTAIRS" 52
12 "WALKING_DOWNSTAIRS" 46
12 "SITTING" 51
12 "STANDING" 61
12 "LAYING" 60
13 "WALKING" 57
13 "WALKING_UPSTAIRS" 55
13 "WALKING_DOWNSTAIRS" 47
13 "SITTING" 49
13 "STANDING" 57
13 "LAYING" 62
14 "WALKING" 59
14 "WALKING_UPSTAIRS" 54
14 "WALKING_DOWNSTAIRS" 45
14 "SITTING" 54
14 "STANDING" 60
14 "LAYING" 51
15 "WALKING" 54
15 "WALKING_UPSTAIRS" 48
15 "WALKING_DOWNSTAIRS" 42
15 "SITTING" 59
15 "STANDING" 53
15 "LAYING" 72
16 "WALKING" 51
16 "WALKING_UPSTAIRS" 51
16 "WALKING_DOWNSTAIRS" 47
16 "SITTING" 69
16 "STANDING" 78
16 "LAYING" 70
17 "WALKING" 61
17 "WALKING_UPSTAIRS" 48
17 "WALKING_DOWNSTAIRS" 46
17 "SITTING" 64
17 "STANDING" 78
17 "LAYING" 71
18 "WALKING" 56
18 "WALKING_UPSTAIRS" 58
18 "WALKING_DOWNSTAIRS" 55
18 "SITTING" 57
18 "STANDING" 73
18 "LAYING" 65
19 "WALKING" 52
19 "WALKING_UPSTAIRS" 40
19 "WALKING_DOWNSTAIRS" 39
19 "SITTING" 73
19 "STANDING" 73
19 "LAYING" 83
20 "WALKING" 51
20 "WALKING_UPSTAIRS" 51
20 "WALKING_DOWNSTAIRS" 45
20 "SITTING" 66
20 "STANDING" 73
20 "LAYING" 68
21 "WALKING" 52
21 "WALKING_UPSTAIRS" 47
21 "WALKING_DOWNSTAIRS" 45
21 "SITTING" 85
21 "STANDING" 89
21 "LAYING" 90
22 "WALKING" 46
22 "WALKING_UPSTAIRS" 42
22 "WALKING_DOWNSTAIRS" 36
22 "SITTING" 62
22 "STANDING" 63
22 "LAYING" 72
23 "WALKING" 59
23 "WALKING_UPSTAIRS" 51
23 "WALKING_DOWNSTAIRS" 54
23 "SITTING" 68
23 "STANDING" 68
23 "LAYING" 72
24 "WALKING" 58
24 "WALKING_UPSTAIRS" 59
24 "WALKING_DOWNSTAIRS" 55
24 "SITTING" 68
24 "STANDING" 69
24 "LAYING" 72
25 "WALKING" 74
25 "WALKING_UPSTAIRS" 65
25 "WALKING_DOWNSTAIRS" 58
25 "SITTING" 65
25 "STANDING" 74
25 "LAYING" 73
26 "WALKING" 59
26 "WALKING_UPSTAIRS" 55
26 "WALKING_DOWNSTAIRS" 50
26 "SITTING" 78
26 "STANDING" 74
26 "LAYING" 76
27 "WALKING" 57
27 "WALKING_UPSTAIRS" 51
27 "WALKING_DOWNSTAIRS" 44
27 "SITTING" 70
27 "STANDING" 80
27 "LAYING" 74
28 "WALKING" 54
28 "WALKING_UPSTAIRS" 51
28 "WALKING_DOWNSTAIRS" 46
28 "SITTING" 72
28 "STANDING" 79
28 "LAYING" 80
29 "WALKING" 53
29 "WALKING_UPSTAIRS" 49
29 "WALKING_DOWNSTAIRS" 48
29 "SITTING" 60
29 "STANDING" 65
29 "LAYING" 69
30 "WALKING" 65
30 "WALKING_UPSTAIRS" 65
30 "WALKING_DOWNSTAIRS" 62
30 "SITTING" 62
30 "STANDING" 59
30 "LAYING" 70
